,Year,Month,Type,From,To,Date,Player,Position,Transaction
2,1991,4,trades,Cowboys  Cowboys,Lions  Lions,04/21,Kelvin Pritchett,,Traded
3,1991,4,trades,Broncos  Broncos,Rams  Rams,04/21,Gerald Perry,,Traded
4,1991,4,trades,Cowboys  Cowboys,Patriots  Patriots,04/20,David Howard,,Traded
5,1991,4,trades,Cowboys  Cowboys,Patriots  Patriots,04/20,Eugene Lockhart,,Traded
6,1991,4,trades,Buccaneers  Buccaneers,Raiders  Raiders,04/12,Winston Moss,,Traded
7,1991,4,trades,Oilers  Oilers,Dolphins  Dolphins,04/04,John Grimsley,,Traded
0,1991,6,trades,Cardinals  Cardinals,Jets  Jets,06/13,Lonnie Young,,Traded
1,1991,6,trades,Cardinals  Cardinals,Browns  Browns,06/10,Roy Green,,Traded
0,1991,7,trades,Falcons  Falcons,Cowboys  Cowboys,07/22,Tony Casillas,,Traded
0,1991,8,trades,Chargers  Chargers,Falcons  Falcons,08/28,Billy Joe Tolliver,,Traded
1,1991,8,trades,Packers  Packers,Falcons  Falcons,08/27,Brad Daluiso,,Traded
2,1991,8,trades,Buccaneers  Buccaneers,Chiefs  Chiefs,08/27,Ervin Randle,,Traded
3,1991,8,trades,Raiders  Raiders,Cowboys  Cowboys,08/26,Steve Beuerlein,,Traded
4,1991,8,trades,Oilers  Oilers,Chargers  Chargers,08/23,Shawn Jefferson,,Traded
5,1991,8,trades,Chargers  Chargers,Oilers  Oilers,08/23,Lee Williams,,Traded
6,1991,8,trades,Saints  Saints,Lions  Lions,08/21,Brett Perriman,,Traded
7,1991,8,trades,Cardinals  Cardinals,Saints  Saints,08/19,Derek Kennard,,Traded
8,1991,8,trades,Saints  Saints,Cardinals  Cardinals,08/19,Robert Massey,,Traded
9,1991,8,trades,Jets  Jets,Bears  Bears,08/19,Ron Mattes,,Traded
10,1991,8,trades,Raiders  Raiders,Saints  Saints,08/14,Vencie Glenn,,Traded
11,1991,8,trades,Cardinals  Cardinals,49ers  49ers,08/12,Terrence Flagler,,Traded
0,1991,9,trades,Packers  Packers,49ers  49ers,09/30,Tim Harris,,Traded
1,1991,9,trades,Patriots  Patriots,Buccaneers  Buccaneers,09/18,Jesse Solomon,,Traded
2,1991,9,trades,Cowboys  Cowboys,Patriots  Patriots,09/17,Jesse Solomon,,Traded
3,1991,9,trades,Rams  Rams,Colts  Colts,09/05,Irvin Pankey,,Traded
4,1991,9,trades,Dolphins  Dolphins,Cardinals  Cardinals,09/03,Randal Hill,,Traded
0,1991,10,trades,Lions  Lions,Broncos  Broncos,10/08,Harvey Salem,,Traded
0,1992,1,trades,Oilers  Oilers,Saints  Saints,01/31,Allen Pinkett,,Traded
1,1992,1,trades,Patriots  Patriots,Browns  Browns,01/30,Freddie Childress,,Traded
2,1992,1,trades,Broncos  Broncos,Buccaneers  Buccaneers,01/30,Ricky Nattiel,,Traded
3,1992,1,trades,Patriots  Patriots,Cardinals  Cardinals,01/30,Danny Villa,,Traded
4,1992,1,trades,Falcons  Falcons,Patriots  Patriots,01/27,Reggie Redding,,Traded
0,1992,2,trades,Falcons  Falcons,Packers  Packers,02/12,Brett Favre,,Traded
1,1992,2,trades,Raiders  Raiders,Cowboys  Cowboys,02/01,Garry Lewis,,Traded
2,1992,2,trades,Cardinals  Cardinals,Packers  Packers,02/01,Tootie Robbins,,Traded
0,1992,4,trades,Packers  Packers,Cowboys  Cowboys,04/30,Keith Woodside,,Traded
1,1992,4,trades,Colts  Colts,Raiders  Raiders,04/26,Eric Dickerson,,Traded
2,1992,4,trades,Saints  Saints,Seahawks  Seahawks,04/26,Rueben Mayes,,Traded
3,1992,4,trades,Vikings  Vikings,Seahawks  Seahawks,04/26,Keith Millard,,Traded
0,1992,5,trades,Broncos  Broncos,Dolphins  Dolphins,05/26,Bobby Humphrey,,Traded
1,1992,5,trades,Dolphins  Dolphins,Broncos  Broncos,05/26,Sammie Smith,,Traded
2,1992,5,trades,Packers  Packers,Falcons  Falcons,05/05,Blair Kiel,,Traded
0,1992,7,trades,Raiders  Raiders,Packers  Packers,07/20,Paul Richardson,,Traded
0,1992,8,trades,Bears  Bears,Browns  Browns,08/28,Jay Hilgenberg,,Traded
1,1992,8,trades,49ers  49ers,Cowboys  Cowboys,08/27,Charles Haley,,Traded
2,1992,8,trades,Redskins  Redskins,Vikings  Vikings,08/26,George Hinkle,,Traded
3,1992,8,trades,Redskins  Redskins,Vikings  Vikings,08/26,Joe Johnson,,Traded
4,1992,8,trades,Cowboys  Cowboys,Buccaneers  Buccaneers,08/26,Garry Lewis,,Traded
5,1992,8,trades,Buccaneers  Buccaneers,Chargers  Chargers,08/26,Kevin Murphy,,Traded
6,1992,8,trades,Cowboys  Cowboys,Browns  Browns,08/25,Rod Milstead,,Traded
7,1992,8,trades,Rams  Rams,Browns  Browns,08/24,Frank Stams,,Traded
8,1992,8,trades,Eagles  Eagles,Browns  Browns,08/19,Brad Goebel,,Traded
9,1992,8,trades,Colts  Colts,Packers  Packers,08/19,Dave McCloughan,,Traded
10,1992,8,trades,Redskins  Redskins,Chargers  Chargers,08/13,Stan Humphries,,Traded
0,1992,9,trades,Steelers  Steelers,Cowboys  Cowboys,09/21,Thomas Everett,,Traded
1,1992,9,trades,49ers  49ers,Vikings  Vikings,09/16,Keith Henderson,,Traded
2,1992,9,trades,Falcons  Falcons,Browns  Browns,09/12,Shawn Collins,,Traded
3,1992,9,trades,Steelers  Steelers,Redskins  Redskins,09/02,Huey Richardson,,Traded
4,1992,9,trades,Bills  Bills,Eagles  Eagles,09/01,Leon Seals,,Traded
0,1992,10,trades,Buccaneers  Buccaneers,Cardinals  Cardinals,10/13,Reuben Davis,,Traded
1,1992,10,trades,Cowboys  Cowboys,Raiders  Raiders,10/13,Alexander Wright,,Traded
0,1993,3,trades,Bengals  Bengals,Jets  Jets,03/17,Boomer Esiason,,Traded
0,1993,4,trades,Patriots  Patriots,Cowboys  Cowboys,04/28,Hugh Millen,,Traded
1,1993,4,trades,Packers  Packers,Seahawks  Seahawks,04/26,Dave McCloughan,,Traded
2,1993,4,trades,Cardinals  Cardinals,Jets  Jets,04/25,Johnny Johnson,,Traded
3,1993,4,trades,Saints  Saints,Lions  Lions,04/25,Pat Swilling,,Traded
4,1993,4,trades,Chargers  Chargers,Eagles  Eagles,04/25,Broderick Thompson,,Traded
5,1993,4,trades,Packers  Packers,Patriots  Patriots,04/25,Adrian White,,Traded
6,1993,4,trades,Lions  Lions,Browns  Browns,04/23,Jerry Ball,,Traded
7,1993,4,trades,49ers  49ers,Chiefs  Chiefs,04/22,Joe Montana,,Traded
8,1993,4,trades,49ers  49ers,Chiefs  Chiefs,04/22,David Whitmore,,Traded
9,1993,4,trades,Chargers  Chargers,Rams  Rams,04/15,Leo Goeas,,Traded
10,1993,4,trades,Broncos  Broncos,Raiders  Raiders,04/14,Gaston Green,,Traded
11,1993,4,trades,Broncos  Broncos,Falcons  Falcons,04/13,Alton Montgomery,,Traded
12,1993,4,trades,Cardinals  Cardinals,Chiefs  Chiefs,04/08,Jay Taylor,,Traded
13,1993,4,trades,Patriots  Patriots,Dolphins  Dolphins,04/05,Irving Fryar,,Traded
14,1993,4,trades,Jets  Jets,Packers  Packers,04/05,Ken O'Brien,,Traded
15,1993,4,trades,Packers  Packers,Falcons  Falcons,04/02,Vinnie Clark,,Traded
0,1993,5,trades,Raiders  Raiders,49ers  49ers,05/10,Mervyn Fernandez,,Traded
1,1993,5,trades,Chiefs  Chiefs,Rams  Rams,05/07,Chris Martin,,Traded
0,1993,6,trades,Packers  Packers,Falcons  Falcons,06/03,Lester Archambeau,,Traded
1,1993,6,trades,Falcons  Falcons,Packers  Packers,06/03,James Milling,,Traded
