,Year,Month,Type,From,To,Date,Player,Position,Transaction
6,2013,5,reserve-list,Broncos  Broncos,Broncos  Broncos,05/21,Blake Gideon,,Reserve/Retired
7,2013,5,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,05/17,Luke Patterson,,Reserve/Injured from Waived/Injured; Not Against 90
8,2013,5,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,05/17,Taylor Stockemer,,Reserve/Injured from Waived/Injured; Not Against 90
9,2013,5,reserve-list,Giants  Giants,Giants  Giants,05/17,Antonio Dennard,,Reserve/Injured from Waived/Injured; Not Against 90
10,2013,5,reserve-list,Giants  Giants,Giants  Giants,05/17,Michael Palmer,,Reserve/Injured from Waived/Injured; Not Against 90
11,2013,5,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,05/16,Chas Alecxih,,Reserve/Injured from Waived/Injured; Not Against 90
12,2013,5,reserve-list,Ravens  Ravens,Ravens  Ravens,05/15,Rolando McClain,,Reserve/Retired
13,2013,5,reserve-list,Bills  Bills,Bills  Bills,05/15,Kevin Norrell,,Reserve/Injured from Waived/Injured; Not Against 90
14,2013,5,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,05/15,Chandler Fenner,,Reserve/Injured from Waived/Injured; Not Against 90
15,2013,5,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,05/10,Gerald Sensabaugh,,Reserve/Retired
16,2013,5,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,05/10,Brian Price,,Reserve/Injured from Waived/Injured; Not Against 90
17,2013,5,reserve-list,Panthers  Panthers,Panthers  Panthers,05/08,John Kasay,,Reserve/Retired
18,2013,5,reserve-list,Patriots  Patriots,Patriots  Patriots,05/07,Quentin Hines,,Reserve/Injured from Waived/Injured; Not Against 90
19,2013,5,reserve-list,Steelers  Steelers,Steelers  Steelers,05/07,Anthony Rashad White,,Reserve/Injured from Waived/Injured; Not Against 90
20,2013,5,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,05/03,Drake Dunsmore,,Reserve/Retired
21,2013,5,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,05/03,Nate Kaeding,,Reserve/Retired
0,2013,6,reserve-list,Panthers  Panthers,Panthers  Panthers,06/20,R.J. Webb,,Reserve/Injured from Waived/Injured; Not Against 90
1,2013,6,reserve-list,Niners  Niners,Niners  Niners,06/19,Brandon Carswell,,Reserve/Injured from Waived/Injured; Not Against 90
2,2013,6,reserve-list,Redskins  Redskins,Redskins  Redskins,06/13,Deangelo Peterson,,Reserve/Injured from Waived/Injured; Not Against 90
3,2013,6,reserve-list,Redskins  Redskins,Redskins  Redskins,06/13,Doug Worthington,,Reserve/Injured from Waived/Injured; Not Against 90
4,2013,6,reserve-list,Niners  Niners,Niners  Niners,06/11,Alex Debniak,,Reserve/Injured from Waived/Injured; Not Against 90
5,2013,6,reserve-list,Falcons  Falcons,Falcons  Falcons,06/07,Adam Nissley,,Reserve/Injured from Waived/Injured; Not Against 90
6,2013,6,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,06/06,Rob Callaway,,Reserve/Injured from Waived/Injured; Not Against 90
7,2013,6,reserve-list,Steelers  Steelers,Steelers  Steelers,06/04,Zack Pianalto,,Reserve/Injured from Waived/Injured; Not Against 90
8,2013,6,reserve-list,Patriots  Patriots,Patriots  Patriots,06/03,T.J. Moe,,Reserve/Injured from Waived/Injured; Not Against 90
0,2013,7,reserve-list,Ravens  Ravens,Ravens  Ravens,07/31,Spencer Adkins,,Reserve/Injured from Waived/Injured; Not Against 90
1,2013,7,reserve-list,Rams  Rams,Rams  Rams,07/31,Braden Brown,,Reserve/Injured from Waived/Injured; Not Against 90
2,2013,7,reserve-list,Rams  Rams,Rams  Rams,07/31,Kevin Saia,,Reserve/Injured from Waived/Injured; Not Against 90
3,2013,7,reserve-list,Niners  Niners,Niners  Niners,07/31,Darius Fleming,,Reserve/Injured from Waived/Injured; Not Against 90
4,2013,7,reserve-list,Broncos  Broncos,Broncos  Broncos,07/28,Lucas Reed,,Reserve/Injured from Waived/Injured; Not Against 90
5,2013,7,reserve-list,Jets  Jets,Jets  Jets,07/28,Aaron Berry,,Reserve/Injured from Waived/Injured; Not Against 90
6,2013,7,reserve-list,Chargers  Chargers,Chargers  Chargers,07/28,Jonas Mouton,,Reserve/Injured from Waived/Injured; Not Against 90
7,2013,7,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,07/26,Ryan Swope,,Reserve/Retired
8,2013,7,reserve-list,Texans  Texans,Texans  Texans,07/26,Phillip Supernaw,,Reserve/Injured from Waived/Injured; Not Against 90
9,2013,7,reserve-list,Bears  Bears,Bears  Bears,07/25,Sedrick Ellis,,Reserve/Retired
10,2013,7,reserve-list,Jets  Jets,Jets  Jets,07/24,Thomas Mayo,,Reserve/Injured from Waived/Injured; Not Against 90
11,2013,7,reserve-list,Rams  Rams,Rams  Rams,07/18,Phillip Steward,,Reserve/Injured from Waived/Injured; Not Against 90
12,2013,7,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,07/18,Josh Brent,,Reserve/Retired
13,2013,7,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,07/08,Joe Hastings,,Reserve/Retired
0,2013,8,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,08/31,LaRon Byrd,,Moved to Reserve/Injured
1,2013,8,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,08/31,Javone Lawson,,Moved to Reserve/Injured
2,2013,8,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,08/31,Everrette Thompson,,Moved to Reserve/Injured
3,2013,8,reserve-list,Falcons  Falcons,Falcons  Falcons,08/31,Saeed Lee,,Moved to Reserve/Injured
4,2013,8,reserve-list,Falcons  Falcons,Falcons  Falcons,08/31,Adam Nissley,,Moved to Reserve/Injured
5,2013,8,reserve-list,Bills  Bills,Bills  Bills,08/31,Mike Caussin,,Moved to Reserve/Injured
6,2013,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/31,Joe Adams,,Moved to Reserve/Injured
7,2013,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/31,Linden Gaydosh,,Moved to Reserve/Injured
8,2013,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/31,Frank Kearse,,Moved to Reserve/Injured
9,2013,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/31,R.J. Webb,,Moved to Reserve/Injured
10,2013,8,reserve-list,Bengals  Bengals,Bengals  Bengals,08/31,Larry Black,,Moved to Reserve/Injured
11,2013,8,reserve-list,Bengals  Bengals,Bengals  Bengals,08/31,Brandon Joiner,,Moved to Reserve/Injured
12,2013,8,reserve-list,Browns  Browns,Browns  Browns,08/31,Montario Hardesty,,Moved to Reserve/Injured
13,2013,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/31,Alex Albright,,Moved to Reserve/Injured
14,2013,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/31,Travis Chappelear,,Moved to Reserve/Injured
15,2013,8,reserve-list,Broncos  Broncos,Broncos  Broncos,08/31,Justin Boren,,Moved to Reserve/Injured
16,2013,8,reserve-list,Broncos  Broncos,Broncos  Broncos,08/31,Greg Orton,,Moved to Reserve/Injured
17,2013,8,reserve-list,Lions  Lions,Lions  Lions,08/31,Cory Greenwood,,Moved to Reserve/Injured
18,2013,8,reserve-list,Packers  Packers,Packers  Packers,08/31,Sederrik Cunningham,,Moved to Reserve/Injured
19,2013,8,reserve-list,Packers  Packers,Packers  Packers,08/31,Kevin Dorsey,,Moved to Reserve/Injured
20,2013,8,reserve-list,Packers  Packers,Packers  Packers,08/31,Jarvis Reed,,Moved to Reserve/Injured
21,2013,8,reserve-list,Texans  Texans,Texans  Texans,08/31,Evan Frierson,,Moved to Reserve/Injured
22,2013,8,reserve-list,Texans  Texans,Texans  Texans,08/31,David Hunter,,Moved to Reserve/Injured
23,2013,8,reserve-list,Texans  Texans,Texans  Texans,08/31,Michael Smith,,Moved to Reserve/Injured
24,2013,8,reserve-list,Colts  Colts,Colts  Colts,08/31,Justin Anderson,,Moved to Reserve/Injured
0,2013,9,reserve-list,Bears  Bears,Bears  Bears,09/27,Henry Melton,,Reserve/Injured
1,2013,9,reserve-list,Giants  Giants,Giants  Giants,09/25,Henry Hynoski,,Reserve/Injured
2,2013,9,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,09/25,Anthony Spencer,,Reserve/Injured
3,2013,9,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,09/25,Alex Okafor,,Reserve/Injured
4,2013,9,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,09/24,Vaughn Martin,,Reserve/Injured
5,2013,9,reserve-list,Raiders  Raiders,Raiders  Raiders,09/23,David Ausberry,,Reserve/Injured
6,2013,9,reserve-list,Bills  Bills,Bills  Bills,09/23,Alex Carrington,,Reserve/Injured
7,2013,9,reserve-list,Vikings  Vikings,Vikings  Vikings,09/23,Zach Line,,Reserve/Injured
8,2013,9,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,09/23,Luke Stocker,,Reserve/Injured
9,2013,9,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,09/23,Lorenzo Alexander,,Reserve/Injured
10,2013,9,reserve-list,Cardinals  Cardinals,Cardinals  Cardinals,09/23,Sam Acho,,Reserve/Injured
11,2013,9,reserve-list,Lions  Lions,Lions  Lions,09/23,Jason Jones,,Reserve/Injured
12,2013,9,reserve-list,Colts  Colts,Colts  Colts,09/19,Dwayne Allen,,Reserve/Injured
13,2013,9,reserve-list,Saints  Saints,Saints  Saints,09/18,Patrick Robinson,,Reserve/Injured
14,2013,9,reserve-list,Eagles  Eagles,Eagles  Eagles,09/18,Brandon Hughes,,Reserve/Injured
15,2013,9,reserve-list,Broncos  Broncos,Broncos  Broncos,09/18,Ryan Clady,,Reserve/Injured
16,2013,9,reserve-list,Bengals  Bengals,Bengals  Bengals,09/18,Robert Geathers,,Reserve/Injured
17,2013,9,reserve-list,Falcons  Falcons,Falcons  Falcons,09/17,Kroy Biermann,,Reserve/Injured
18,2013,9,reserve-list,Falcons  Falcons,Falcons  Falcons,09/17,Bradie Ewing,,Reserve/Injured
19,2013,9,reserve-list,Niners  Niners,Niners  Niners,09/17,Ian Williams,,Reserve/Injured
20,2013,9,reserve-list,Colts  Colts,Colts  Colts,09/17,Donald Thomas,,Reserve/Injured
21,2013,9,reserve-list,Panthers  Panthers,Panthers  Panthers,09/17,Charles Godfrey,,Reserve/Injured
22,2013,9,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,09/17,Dashon Goldson,,Reserve/Suspended By Commissioner-Less than One Year
23,2013,9,reserve-list,Rams  Rams,Rams  Rams,09/16,Matt Daniels,,Reserve/Injured
24,2013,9,reserve-list,Colts  Colts,Colts  Colts,09/13,Vick Ballard,,Reserve/Injured
0,2013,10,reserve-list,Lions  Lions,Lions  Lions,10/31,Ryan Broyles,,Reserve/Injured
1,2013,10,reserve-list,Browns  Browns,Browns  Browns,10/30,Travis Benjamin,,Reserve/Injured
2,2013,10,reserve-list,Bengals  Bengals,Bengals  Bengals,10/30,Taylor Mays,,Reserve/Injured
3,2013,10,reserve-list,Titans  Titans,Titans  Titans,10/30,Robert Turner,,Reserve/Injured
4,2013,10,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,10/30,Sidney Rice,,Reserve/Injured
5,2013,10,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,10/29,Brandon Gibson,,Reserve/Injured
6,2013,10,reserve-list,Bengals  Bengals,Bengals  Bengals,10/29,Leon Hall,,Reserve/Injured
7,2013,10,reserve-list,Patriots  Patriots,Patriots  Patriots,10/29,Sebastian Vollmer,,Reserve/Injured
8,2013,10,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,10/28,Mike Williams,,Reserve/Injured
9,2013,10,reserve-list,Texans  Texans,Texans  Texans,10/28,Brian Cushing,,Reserve/Injured
10,2013,10,reserve-list,Giants  Giants,Giants  Giants,10/24,David Baas,,Reserve/Injured
11,2013,10,reserve-list,Rams  Rams,Rams  Rams,10/23,Sam Bradford,,Reserve/Injured
12,2013,10,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,10/22,Spencer Ware,,Reserve/Injured
13,2013,10,reserve-list,Colts  Colts,Colts  Colts,10/22,Reggie Wayne,,Reserve/Injured
14,2013,10,reserve-list,Redskins  Redskins,Redskins  Redskins,10/22,Brandon Meriweather,,Reserve/Suspended By Commissioner-Less than One Year
15,2013,10,reserve-list,Bears  Bears,Bears  Bears,10/18,D.J. Williams,,Reserve/Injured
16,2013,10,reserve-list,Browns  Browns,Browns  Browns,10/18,Josh Aubrey,,Reserve/Injured
17,2013,10,reserve-list,Vikings  Vikings,Vikings  Vikings,10/17,Desmond Bishop,,Reserve/Injured
18,2013,10,reserve-list,Patriots  Patriots,Patriots  Patriots,10/16,Jerod Mayo,,Reserve/Injured
19,2013,10,reserve-list,Panthers  Panthers,Panthers  Panthers,10/16,Amini Silatolu,,Reserve/Injured
20,2013,10,reserve-list,Giants  Giants,Giants  Giants,10/16,Da'Rel Scott,,Reserve/Injured
21,2013,10,reserve-list,Texans  Texans,Texans  Texans,10/16,A.J. Bouye,,Reserve/Injured
22,2013,10,reserve-list,Texans  Texans,Texans  Texans,10/16,Danieal Manning,,Reserve/Injured
23,2013,10,reserve-list,Steelers  Steelers,Steelers  Steelers,10/15,Levi Brown,,Reserve/Injured
24,2013,10,reserve-list,Steelers  Steelers,Steelers  Steelers,10/15,David Johnson,,Reserve/Injured
0,2013,11,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,11/30,Sanders Commings,,Reserve/Injured
1,2013,11,reserve-list,Steelers  Steelers,Steelers  Steelers,11/30,Fernando Velasco,,Reserve/Injured
2,2013,11,reserve-list,Broncos  Broncos,Broncos  Broncos,11/27,Kevin Vickerson,,Reserve/Injured
3,2013,11,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,11/27,Tom Crabtree,,Reserve/Injured
4,2013,11,reserve-list,Packers  Packers,Packers  Packers,11/27,Johnathan Franklin,,Reserve/Injured
5,2013,11,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,11/26,Walter Thurmond,,Reserve/Suspended By Commissioner-Less than One Year
6,2013,11,reserve-list,Steelers  Steelers,Steelers  Steelers,11/26,Curtis Brown,,Reserve/Injured
7,2013,11,reserve-list,Redskins  Redskins,Redskins  Redskins,11/26,Stephen Bowen,,Reserve/Injured
8,2013,11,reserve-list,Giants  Giants,Giants  Giants,11/26,Jim Cordle,,Reserve/Injured
9,2013,11,reserve-list,Colts  Colts,Colts  Colts,11/26,Delano Howell,,Reserve/Injured
10,2013,11,reserve-list,Jets  Jets,Jets  Jets,11/26,Troy Davis,,Reserve/Injured
11,2013,11,reserve-list,Titans  Titans,Titans  Titans,11/25,Michael Griffin,,Reserve/Suspended By Commissioner-Less than One Year
12,2013,11,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,11/23,Stephen Williams,,Reserve/Injured
13,2013,11,reserve-list,Rams  Rams,Rams  Rams,11/23,Cortland Finnegan,,Reserve/Injured
14,2013,11,reserve-list,Rams  Rams,Rams  Rams,11/23,Brady Quinn,,Reserve/Injured
15,2013,11,reserve-list,Raiders  Raiders,Raiders  Raiders,11/23,Juron Criner,,Reserve/Injured
16,2013,11,reserve-list,Packers  Packers,Packers  Packers,11/23,Casey Hayward,,Reserve/Injured
17,2013,11,reserve-list,Packers  Packers,Packers  Packers,11/23,James Nixon,,Reserve/Injured
18,2013,11,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,11/22,Kyle Williams,,Reserve/Injured
19,2013,11,reserve-list,Redskins  Redskins,Redskins  Redskins,11/21,Leonard Hankerson,,Reserve/Injured
20,2013,11,reserve-list,Browns  Browns,Browns  Browns,11/20,Armanti Edwards,,Reserve/Injured
21,2013,11,reserve-list,Raiders  Raiders,Raiders  Raiders,11/20,D.J. Hayden,,Reserve/Injured
22,2013,11,reserve-list,Saints  Saints,Saints  Saints,11/19,Jabari Greer,,Reserve/Injured
23,2013,11,reserve-list,Colts  Colts,Colts  Colts,11/19,Erik Walden,,Reserve/Suspended By Commissioner-Less than One Year
24,2013,11,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,11/19,Dashon Goldson,,Reserve/Suspended By Commissioner-Less than One Year
0,2013,12,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,12/31,James-Michael Johnson,,Reserve/Injured
1,2013,12,reserve-list,Bengals  Bengals,Bengals  Bengals,12/30,Alex Smith,,Reserve/Injured
2,2013,12,reserve-list,Bengals  Bengals,Bengals  Bengals,12/30,Devon Still,,Reserve/Injured
3,2013,12,reserve-list,Texans  Texans,Texans  Texans,12/27,Garrett Graham,,Reserve/Injured
4,2013,12,reserve-list,Texans  Texans,Texans  Texans,12/27,Brad Smelley,,Reserve/Injured
5,2013,12,reserve-list,Vikings  Vikings,Vikings  Vikings,12/27,Audie Cole,,Reserve/Injured
6,2013,12,reserve-list,Lions  Lions,Lions  Lions,12/27,Israel Idonije,,Reserve/Injured
7,2013,12,reserve-list,Niners  Niners,Niners  Niners,12/27,Mario Manningham,,Reserve/Injured
8,2013,12,reserve-list,Bills  Bills,Bills  Bills,12/27,Aaron Williams,,Reserve/Injured
9,2013,12,reserve-list,Buccaneers  Buccaneers,Buccaneers  Buccaneers,12/26,Da'Quan Bowers,,Reserve/Injured
10,2013,12,reserve-list,Lions  Lions,Lions  Lions,12/26,Dorin Dickerson,,Reserve/Injured
11,2013,12,reserve-list,Falcons  Falcons,Falcons  Falcons,12/26,Corey Peters,,Reserve/Injured
12,2013,12,reserve-list,Rams  Rams,Rams  Rams,12/25,Jake Long,,Reserve/Injured
13,2013,12,reserve-list,Giants  Giants,Giants  Giants,12/25,Cooper Taylor,,Reserve/Injured
14,2013,12,reserve-list,Saints  Saints,Saints  Saints,12/25,Kenny Vaccaro,,Reserve/Injured
15,2013,12,reserve-list,Lions  Lions,Lions  Lions,12/25,Brandon Pettigrew,,Reserve/Injured
16,2013,12,reserve-list,Colts  Colts,Colts  Colts,12/24,Montori Hughes,,Reserve/Injured
17,2013,12,reserve-list,Falcons  Falcons,Falcons  Falcons,12/24,Zeke Motta,,Reserve/Injured
18,2013,12,reserve-list,Texans  Texans,Texans  Texans,12/24,Johnathan Joseph,,Reserve/Injured
19,2013,12,reserve-list,Texans  Texans,Texans  Texans,12/24,Deji Karim,,Reserve/Injured
20,2013,12,reserve-list,Redskins  Redskins,Redskins  Redskins,12/24,Nick Barnett,,Reserve/Injured
21,2013,12,reserve-list,Broncos  Broncos,Broncos  Broncos,12/24,Von Miller,,Reserve/Injured
22,2013,12,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,12/23,Roy Miller,,Reserve/Injured
23,2013,12,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,12/23,Brandon Deaderick,,Reserve/Injured
24,2013,12,reserve-list,Chargers  Chargers,Chargers  Chargers,12/23,John Phillips,,Reserve/Injured
0,2014,1,reserve-list,Broncos  Broncos,Broncos  Broncos,01/14,Chris Harris,,Reserve/Injured
1,2014,1,reserve-list,Broncos  Broncos,Broncos  Broncos,01/14,Derek Wolfe,,Reserve/Injured
2,2014,1,reserve-list,Saints  Saints,Saints  Saints,01/07,Parys Haralson,,Reserve/Injured
3,2014,1,reserve-list,Colts  Colts,Colts  Colts,01/06,Fili Moala,,Reserve/Injured
4,2014,1,reserve-list,Colts  Colts,Colts  Colts,01/06,Greg Toler,,Reserve/Injured
5,2014,1,reserve-list,Patriots  Patriots,Patriots  Patriots,01/06,Brandon Spikes,,Reserve/Injured
6,2014,1,reserve-list,Patriots  Patriots,Patriots  Patriots,01/02,Josh Boyce,,Reserve/Injured
0,2014,3,reserve-list,Broncos  Broncos,Broncos  Broncos,03/14,Chris Kuper,,Reserve/Retired
1,2014,3,reserve-list,Falcons  Falcons,Falcons  Falcons,03/06,Jason Snelling,,Reserve/Retired
0,2014,4,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,04/25,Marcus Trufant,,Reserve/Retired
1,2014,4,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,04/23,Stephen Burton,,Reserve/Retired
2,2014,4,reserve-list,Ravens  Ravens,Ravens  Ravens,04/22,Rolando McClain,,Reserve/Retired
3,2014,4,reserve-list,Colts  Colts,Colts  Colts,04/21,Phil Costa,,Reserve/Retired
0,2014,5,reserve-list,Giants  Giants,Giants  Giants,05/30,Stephen Goodin,,Reserve/Injured from Waived/Injured; Not Against 90
1,2014,5,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,05/28,Jarrod Pughsley,,Reserve/Injured from Waived/Injured; Not Against 90
2,2014,5,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,05/28,Evan Wilson,,Reserve/Injured from Waived/Injured; Not Against 90
3,2014,5,reserve-list,Niners  Niners,Niners  Niners,05/28,Luke Marquardt,,Reserve/Injured from Waived/Injured; Not Against 90
4,2014,5,reserve-list,Chargers  Chargers,Chargers  Chargers,05/22,Tobais Palmer,,Reserve/Injured from Waived/Injured; Not Against 90
5,2014,5,reserve-list,Titans  Titans,Titans  Titans,05/21,Eric Ward,,Reserve/Injured from Waived/Injured; Not Against 90
6,2014,5,reserve-list,Browns  Browns,Browns  Browns,05/20,Josh Cooper,,Reserve/Injured from Waived/Injured; Not Against 90
7,2014,5,reserve-list,Browns  Browns,Browns  Browns,05/20,Andre Smith,,Reserve/Injured from Waived/Injured; Not Against 90
8,2014,5,reserve-list,Broncos  Broncos,Broncos  Broncos,05/20,John Youboty,,Reserve/Injured from Waived/Injured; Not Against 90
9,2014,5,reserve-list,Texans  Texans,Texans  Texans,05/20,Chris Martin,,Reserve/Injured from Waived/Injured; Not Against 90
10,2014,5,reserve-list,Vikings  Vikings,Vikings  Vikings,05/14,Josh Samuda,,Reserve/Injured from Waived/Injured; Not Against 90
11,2014,5,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,05/07,Bradie James,,Reserve/Retired
0,2014,6,reserve-list,Saints  Saints,Saints  Saints,06/24,A.J. Davis,,Reserve/Injured from Waived/Injured; Not Against 90
1,2014,6,reserve-list,Ravens  Ravens,Ravens  Ravens,06/23,Xavius Boyd,,Reserve/Injured from Waived/Injured; Not Against 90
2,2014,6,reserve-list,Niners  Niners,Niners  Niners,06/18,Eric Wright,,Reserve/Retired
3,2014,6,reserve-list,Titans  Titans,Titans  Titans,06/16,James Gayle,,Reserve/Injured from Waived/Injured; Not Against 90
4,2014,6,reserve-list,Vikings  Vikings,Vikings  Vikings,06/13,Lestar Jean,,Reserve/Injured from Waived/Injured; Not Against 90
5,2014,6,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,06/12,Jocquel Skinner,,Reserve/Injured from Waived/Injured; Not Against 90
6,2014,6,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,06/06,Risean Broussard,,Reserve/Injured from Waived/Injured; Not Against 90
7,2014,6,reserve-list,Titans  Titans,Titans  Titans,06/05,Josh Stewart,,Reserve/Injured from Waived/Injured; Not Against 90
0,2014,7,reserve-list,Redskins  Redskins,Redskins  Redskins,07/31,Courtney Bridget,,Reserve/Injured from Waived/Injured; Not Against 90
1,2014,7,reserve-list,Dolphins  Dolphins,Dolphins  Dolphins,07/30,Davonte Wallace,,Reserve/Injured from Waived/Injured; Not Against 90
2,2014,7,reserve-list,Steelers  Steelers,Steelers  Steelers,07/30,David Snow,,Reserve/Injured from Waived/Injured; Not Against 90
3,2014,7,reserve-list,Niners  Niners,Niners  Niners,07/30,Fou Fonoti,,Reserve/Injured from Waived/Injured; Not Against 90
4,2014,7,reserve-list,Texans  Texans,Texans  Texans,07/28,Alan Bonner,,Reserve/Injured from Waived/Injured; Not Against 90
5,2014,7,reserve-list,Texans  Texans,Texans  Texans,07/28,Cody White,,Reserve/Injured from Waived/Injured; Not Against 90
6,2014,7,reserve-list,Patriots  Patriots,Patriots  Patriots,07/28,Greg Orton,,Reserve/Injured from Waived/Injured; Not Against 90
7,2014,7,reserve-list,Bills  Bills,Bills  Bills,07/25,Brandon Smith,,Reserve/Injured from Waived/Injured; Not Against 90
8,2014,7,reserve-list,Panthers  Panthers,Panthers  Panthers,07/25,Edmund Kugbila,,Reserve/Injured from Waived/Injured; Not Against 90
9,2014,7,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,07/25,Jared Smith,,Reserve/Injured from Waived/Injured; Not Against 90
10,2014,7,reserve-list,Seahawks  Seahawks,Seahawks  Seahawks,07/23,Sidney Rice,,Reserve/Retired
11,2014,7,reserve-list,Broncos  Broncos,Broncos  Broncos,07/22,Eric Hagg,,Reserve/Retired
12,2014,7,reserve-list,Patriots  Patriots,Patriots  Patriots,07/17,Armond Armstead,,Reserve/Retired
0,2014,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/31,Kevin Hughes,,Reserve/Injured
1,2014,8,reserve-list,Bears  Bears,Bears  Bears,08/31,M.D. Jennings,,Reserve/Injured
2,2014,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/31,Orie Lemon,,Reserve/Injured
3,2014,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/31,Zach Minter,,Reserve/Injured
4,2014,8,reserve-list,Packers  Packers,Packers  Packers,08/31,Aaron Adams,,Reserve/Injured
5,2014,8,reserve-list,Packers  Packers,Packers  Packers,08/31,Jake Stoneburner,,Reserve/Injured
6,2014,8,reserve-list,Colts  Colts,Colts  Colts,08/31,Matt Hall,,Reserve/Injured
7,2014,8,reserve-list,Colts  Colts,Colts  Colts,08/31,Delano Howell,,Reserve/Injured
8,2014,8,reserve-list,Jaguars  Jaguars,Jaguars  Jaguars,08/31,Brandon Barden,,Reserve/Injured
9,2014,8,reserve-list,Chiefs  Chiefs,Chiefs  Chiefs,08/31,DeMarcus Van Dyke,,Reserve/Injured
10,2014,8,reserve-list,Giants  Giants,Giants  Giants,08/31,Rogers Gaines,,Reserve/Injured
11,2014,8,reserve-list,Eagles  Eagles,Eagles  Eagles,08/31,Kenjon Barner,,Reserve/Injured
12,2014,8,reserve-list,Chargers  Chargers,Chargers  Chargers,08/31,Vincent Brown,,Reserve/Injured
13,2014,8,reserve-list,Texans  Texans,Texans  Texans,08/31,Will Yeatman,,Reserve/Injured
14,2014,8,reserve-list,Ravens  Ravens,Ravens  Ravens,08/30,Shaun Chapas,,Moved to Reserve/Injured
15,2014,8,reserve-list,Ravens  Ravens,Ravens  Ravens,08/30,Brett Van Sloten,,Moved to Reserve/Injured
16,2014,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/30,D.C. Jefferson,,Moved to Reserve/Injured
17,2014,8,reserve-list,Panthers  Panthers,Panthers  Panthers,08/30,Edmund Kugbila,,Moved to Reserve/Injured
18,2014,8,reserve-list,Bengals  Bengals,Bengals  Bengals,08/30,J.K. Schaffer,,Moved to Reserve/Injured
19,2014,8,reserve-list,Browns  Browns,Browns  Browns,08/30,Jonathan Krause,,Moved to Reserve/Injured
20,2014,8,reserve-list,Browns  Browns,Browns  Browns,08/30,Andre Smith,,Moved to Reserve/Injured
21,2014,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/30,Brian Clarke,,Moved to Reserve/Injured
22,2014,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/30,Justin Green,,Moved to Reserve/Injured
23,2014,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/30,DeVonte Holloman,,Moved to Reserve/Injured
24,2014,8,reserve-list,Cowboys  Cowboys,Cowboys  Cowboys,08/30,Matt Johnson,,Moved to Reserve/Injured
